word,common,prefix,distinct
abacus,5775,1305,2945
abdomen,2748,-1,-1
abdominal,2692,937,1618
abide,2658,-1,-1
abiding,3104,-1,1809
ability,290,231,243
ablaze,4925,-1,-1
able,80,75,70
abnormal,2330,871,1435
abrasion,4990,-1,-1
abrasive,3867,-1,-1
abreast,4859,-1,-1
abridge,6994,-1,-1
abroad,929,523,682
abruptly,2749,-1,1648
absence,1006,-1,735
absentee,4046,-1,-1
absently,7030,-1,-1
absinthe,5658,-1,2895
absolute,716,445,561
absolve,5234,-1,-1
abstain,4429,-1,-1
abstract,1336,-1,922
absurd,1722,-1,1119
accent,1337,-1,-1
acclaim,3631,-1,-1
acclimate,6482,-1,-1
accompany,2067,-1,-1
account,150,133,126
accuracy,1154,-1,-1
accurate,673,-1,533
accustom,6876,-1,-1
acetone,5340,1271,-1
achiness,7599,-1,-1
aching,3632,1086,-1
acid,830,483,-1
acorn,4388,1154,-1
acquaint,6151,-1,3131
acquire,1354,650,933
acre,1775,749,-1
acrobat,5568,-1,2858
acronym,3346,-1,1915
acting,416,-1,-1
action,139,122,118
activate,2190,-1,-1
activator,5372,-1,2777
active,320,-1,269
activism,2435,-1,-1
activist,1355,-1,-1
activity,373,-1,312
actress,831,-1,-1
acts,589,-1,474
acutely,4196,1136,2285
acuteness,7060,-1,-1
aeration,6194,-1,-1
aerobics,5474,-1,-1
aerosol,4570,-1,2450
aerospace,2273,860,1403
afar,3441,1059,-1
affair,1057,-1,760
affected,590,389,475
affecting,1478,-1,998
affection,1798,-1,-1
affidavit,3347,-1,1916
affiliate,1635,-1,1079
affirm,3936,-1,-1
affix,5838,-1,2982
afflicted,3633,-1,-1
affluent,3376,-1,1929
afford,674,-1,534
affront,5054,-1,-1
aflame,6262,-1,3168
afloat,3510,1071,-1
aflutter,7095,-1,-1
afoot,5055,1240,2656
afraid,532,367,429
afterglow,5809,-1,2963
afterlife,3414,-1,1944
aftermath,1841,-1,1183
aftermost,7600,-1,-1
afternoon,505,351,407
aged,768,-1,-1
ageless,5659,-1,-1
agency,366,275,308
agenda,1058,-1,761
agent,423,-1,349
aggregate,1748,743,1135
aghast,5810,1306,2964
agile,3234,-1,-1
agility,3511,-1,-1
aging,1531,699,-1
agnostic,4604,1184,-1
agonize,6779,-1,-1
agonizing,4716,-1,2520
agony,2635,930,-1
agreeable,3975,-1,2188
agreeably,6814,-1,-1
agreed,400,-1,330
agreeing,2013,-1,-1
agreement,357,272,302
aground,5235,-1,-1
ahead,262,213,-1
ahoy,5533,1286,2848
aide,2388,-1,-1
aids,1136,587,-1
aim,756,458,-1
ajar,6002,1319,3055
alabaster,5603,-1,2872
alarm,1097,575,781
albatross,5015,-1,2637
album,254,210,215
alfalfa,5268,1264,2737
algebra,2163,-1,1353
algorithm,1570,707,1042
alias,3078,-1,-1
alibi,4323,-1,2339
alienable,7297,-1,-1
alienate,4571,-1,2451
aliens,1555,-1,-1
alike,1356,-1,934
alive,467,328,-1
alkaline,3751,1095,2098
